Date,Open,High,Low,Close,Volume
2000-05-11,3918.78,3946.06,3827.64,3854.9,206179
2000-05-12,3882.27,3946.06,3873.17,3909.63,249852
2000-05-15,3900.52,3991.69,3873.17,3955.13,198498
2000-05-16,4000.76,4037.21,3973.4,4009.85,262032
2000-05-17,4009.85,4101,4000.76,4037.21,269931
2000-05-18,4037.21,4064.56,3973.4,3973.4,216055
2000-05-19,3991.69,4155.72,3982.59,4137.44,354752
2000-05-22,4091.92,4137.44,4028.11,4091.92,250073
2000-05-23,4073.66,4091.92,3982.59,4028.11,303180
2000-05-24,3991.69,4183.08,3991.69,4128.36,304169
2000-05-25,4146.64,4183.08,4064.56,4110.1,260935
2000-05-26,4110.1,4155.72,4073.66,4110.1,225712
2000-05-29,4128.36,4210.33,4091.92,4192.16,161191
2000-05-30,4201.24,4265.04,4155.72,4155.72,224943
2000-05-31,4173.88,4228.59,4119.17,4228.59,229113
2000-06-01,4274.13,4365.27,4237.77,4365.27,535475
2000-06-02,4274.13,4319.75,4219.43,4265.04,622380
2000-06-05,4347.11,4374.37,4292.39,4292.39,367151
2000-06-06,4283.3,4283.3,4228.59,4237.77,311191
2000-06-07,4237.77,4246.87,4119.17,4164.8,213533
2000-06-08,4192.16,4219.43,4173.88,4210.33,270153
2000-06-09,4255.94,4338.02,4219.43,4274.13,321833
2000-06-12,4365.27,4492.95,4356.19,4447.35,612394
2000-06-13,4492.95,4511.15,4447.35,4511.15,306254
2000-06-14,4465.52,4502.06,4356.19,4365.27,209363
2000-06-15,4410.9,4465.52,4374.37,4374.37,142317
2000-06-16,4420,4438.25,4283.3,4438.25,144951
2000-06-19,4438.25,4465.52,4420,4465.52,178638
2000-06-20,4456.43,4456.43,4338.02,4456.43,223189
2000-06-21,4429.07,4502.06,4383.45,4456.43,319749
2000-06-22,4456.43,4456.43,4319.75,4328.83,299340
2000-06-23,4420,4502.06,4374.37,4374.37,291551
2000-06-26,4383.45,4447.35,4374.37,4447.35,52448
2000-06-27,4447.35,4538.41,4392.73,4538.41,229553
2000-06-28,4547.59,4556.77,4520.24,4556.77,230432
2000-06-29,4483.79,4611.38,4483.79,4602.3,364738
2000-06-30,4593.11,4702.55,4584.03,4647.92,578160
2000-07-03,4720.81,4784.51,4675.18,4766.34,463274
2000-07-04,4766.34,4766.34,4693.34,4693.34,156802
2000-07-05,4766.34,4775.41,4729.88,4757.24,224615
2000-07-06,4784.51,4793.59,4711.63,4775.41,281235
2000-07-07,4729.88,4802.86,4711.63,4784.51,248865
2000-07-10,4793.59,4802.86,4693.34,4766.34,168872
2000-07-11,4775.41,4775.41,4684.28,4684.28,165800
2000-07-12,4775.41,4994.15,4748.05,4930.37,786975
2000-07-13,5012.44,5012.44,4784.51,4793.59,532624
2000-07-14,4884.83,4921.28,4830.11,4875.66,221540
2000-07-17,4893.92,4994.15,4893.92,4948.54,250183
2000-07-18,4966.91,4966.91,4903.01,4957.71,385806
2000-07-19,4957.71,5039.69,4893.92,4939.45,381637
2000-07-21,4985.09,5012.44,4912.19,4948.54,185881
2000-07-24,4948.54,4994.15,4848.31,4884.83,162398
2000-07-25,4848.31,4866.57,4766.34,4830.11,260058
2000-07-26,4830.11,4994.15,4766.34,4957.71,352338
2000-07-27,4903.01,4957.71,4839.21,4903.01,401716
2000-07-28,4903.01,5030.6,4848.31,4985.09,368030
2000-07-31,4985.09,5076.23,4921.28,4921.28,346854
2000-08-01,4893.92,4921.28,4620.48,4693.34,711371
2000-08-02,4638.73,4647.92,4547.59,4584.03,463165
2000-08-03,4565.85,4565.85,4465.52,4465.52,292646
2000-08-04,4465.52,4602.3,4465.52,4529.3,403035
2000-08-07,4474.7,4556.77,4447.35,4547.59,205632
2000-08-08,4556.77,4574.95,4447.35,4483.79,233613
2000-08-09,4483.79,4574.95,4456.43,4565.85,126079
2000-08-10,4492.95,4547.59,4465.52,4465.52,171286
2000-08-11,4438.25,4556.77,4438.25,4492.95,276844
2000-08-14,4465.52,4474.7,4420,4456.43,215069
2000-08-15,4529.3,4629.55,4520.24,4556.77,583427
2000-08-16,4511.15,4538.41,4447.35,4456.43,247657
2000-08-17,4456.43,4456.43,4383.45,4401.81,162618
2000-08-18,4410.9,4465.52,4410.9,4465.52,130796
2000-08-21,4447.35,4447.35,4392.73,4420,215069
2000-08-22,4392.73,4602.3,4392.73,4538.41,287051
2000-08-23,4492.95,4538.41,4392.73,4447.35,258191
2000-08-24,4511.15,4520.24,4374.37,4401.81,331711
2000-08-25,4356.19,4465.52,4328.83,4465.52,268286
2000-08-28,4465.52,4556.77,4465.52,4483.79,237013
2000-08-29,4465.52,4465.52,4356.19,4410.9,252376
2000-08-30,4410.9,4429.07,4319.75,4365.27,195976
2000-08-31,4365.27,4383.45,4301.49,4301.49,139904
